JLCPCB Part #;MFR Part #;Library;Manufacturer;Stock;Price (1pc);Price (100pcs);Price (1000pcs);Datasheet URL;Power Rating;Type;Voltage Rating;Temperature Coefficient;Tolerance;Value;Footprint;Dielectric
C17661;0805W8F3001T5E;Basic;uni-royal(uniroyal elec);715920;$0.0018;$0.0012;;https://www.lcsc.com/partdetail/18349-0805W8F3001T5E/C17661;125mW;Thick Film Resistors;150V;±100ppm/℃;±1%;3k;805;
C17673;0805W8F4701T5E;Basic;uni-royal(uniroyal elec);1986866;$0.0017;$0.0011;;https://www.lcsc.com/partdetail/18361-0805W8F4701T5E/C17673;125mW;Thick Film Resistors;150V;±100ppm/℃;±1%;4.7k;805;
C17675;0805W8F470KT5E;Basic;uni-royal(uniroyal elec);308877;$0.0029;$0.0018;;https://www.lcsc.com/partdetail/18363-0805W8F470KT5E/C17675;125mW;Thick Film Resistors;150V;±200ppm/℃;±1%;4.7Ω;805;
C17709;0805W8F4703T5E;Basic;uni-royal(uniroyal elec);576108;$0.0018;$0.0012;;https://www.lcsc.com/partdetail/18397-0805W8F4703T5E/C17709;125mW;Thick Film Resistors;150V;±100ppm/℃;±1%;470k;805;
C17710;0805W8F4700T5E;Basic;uni-royal(uniroyal elec);746457;$0.0018;$0.0012;;https://www.lcsc.com/partdetail/18398-0805W8F4700T5E/C17710;125mW;Thick Film Resistors;150V;±100ppm/℃;±1%;470Ω;805;
C17713;0805W8F4702T5E;Basic;uni-royal(uniroyal elec);545910;$0.0018;$0.0012;;https://www.lcsc.com/partdetail/18401-0805W8F4702T5E/C17713;125mW;Thick Film Resistors;150V;±100ppm/℃;±1%;47k;805;
C17714;0805W8F470JT5E;Basic;uni-royal(uniroyal elec);466139;$0.0018;$0.0011;;https://www.lcsc.com/partdetail/18402-0805W8F470JT5E/C17714;125mW;Thick Film Resistors;150V;±200ppm/℃;±1%;47Ω;805;
C17720;0805W8F499JT5E;Basic;uni-royal(uniroyal elec);234589;$0.0018;$0.0012;;https://www.lcsc.com/partdetail/18408-0805W8F499JT5E/C17720;125mW;Thick Film Resistors;150V;±100ppm/℃;±1%;49.9Ω;805;
C17724;0805W8F510KT5E;Basic;uni-royal(uniroyal elec);216725;$0.0029;$0.0018;;https://www.lcsc.com/partdetail/18412-0805W8F510KT5E/C17724;125mW;Thick Film Resistors;150V;±400ppm/℃;±1%;5.1Ω;805;
C17734;0805W8F5100T5E;Basic;uni-royal(uniroyal elec);772685;$0.0019;$0.0012;;https://www.lcsc.com/partdetail/18422-0805W8F5100T5E/C17734;125mW;Thick Film Resistors;150V;±100ppm/℃;±1%;510Ω;805;
C17737;0805W8F5102T5E;Basic;uni-royal(uniroyal elec);408819;$0.0019;$0.0012;;https://www.lcsc.com/partdetail/18425-0805W8F5102T5E/C17737;125mW;Thick Film Resistors;150V;±100ppm/℃;±1%;51k;805;
